CITY_NAME,ZIP
WATERMAN,6020
HAYNES,6112
CANNING MILLS,6111
KARAKIN,6044
WANGARA,6065
PERON,6168
NEERABUP,6031
WHITBY,6123
MOORE RIVER,6041
KARRAGULLEN,6111
CARABOODA,6033
RIDGEWOOD,6030
NAVAL BASE,6165
